respondent_id,submitted_at,department,rating,nps,comment
R100401,2025-03-14,Sales,3,4,"Not bad, not great because improving slowly but still gaps. Needs to change soon."
R103724,2025-04-23,Support,5,9,So impressed with the support because great work-life balance. Would recommend.
R102241,2025-12-19,Support,5,8,Best experience I've had because onboarding was smooth and friendly. Hope it stays this way.
R105749,2025-02-26,Marketing,3,6,"Mixed feelings honestly because good people, unclear direction. Needs to change soon."
R105462,2025-08-27,Engineering,5,8,SO IMPRESSED WITH THE SUPPORT BECAUSE MY FEEDBACK GETS ACTED ON QUICKLY. WOULD RECOMMEND.
R106287,2025-11-29,Operations,5,10,So impressed with the support because onboarding was smooth and friendly. Please look into it.
R106833,2025-11-19,Marketing,5,8,The team is fantastic because my feedback gets acted on quickly. That's my honest take.
R102745,2025-12-05,Operations,4,8,Couldn't ask for a better setup because leadership is transparent.
R101899,2025-10-23,Sales,2,3,Not a great experience at all because the tools crash constantly. Hope it stays this way.
R107518,2025-10-16,Engineering,4,8,Couldn't ask for a better setup because onboarding was smooth and friendly. Hope it stays this way.
R100716,2025-10-02,Sales,2,4,The whole thing feels broken because nobody responds to my requests. Hope it stays this way.
R103242,2025-10-16,Engineering,1,0,Pretty let down lately because communication is terrible. Thanks for asking.
R100022,2025-02-05,Marketing,5,10,SO IMPRESSED WITH THE SUPPORT BECAUSE ONBOARDING WAS SMOOTH AND FRIENDLY.
R100240,2025-03-27,Marketing,4,8,Everything has been excellent because the tools we use are reliable. Needs to change soon.
R107819,2025-11-13,Support,1,0,
R101067,2025-10-19,Marketing,5,9,
R101394,2025-12-29,Engineering,4,9,Everything has been excellent because onboarding was smooth and friendly. Needs to change soon.
R100063,2025-06-05,Support,5,9,Best experience I've had because communication is clear and helpful. Please look into it.
R105367,2025-04-24,Engineering,5,10,
R107984,2025-02-06,Engineering,5,10,Really happy with how things are going because the managers actually listen. Please look into it.
R100803,2025-04-03,Engineering,4,7,Couldn't ask for a better setup because communication is clear and helpful. That's my honest take.
R103119,2025-10-12,Support,4,9,Everything has been excellent because great work-life balance. That's my honest take.
R101833,2025-04-27,People,5,9,Everything has been excellent because leadership is transparent. Please look into it.
R104143,2025-01-22,Sales,3,6,"Not bad, not great because improving slowly but still gaps. Hope it stays this way."
R103704,2025-03-15,Sales,5,8,The team is fantastic because the managers actually listen. Needs to change soon.
